time,phase,altitude_m,velocity_mps,mach,q_pa,apoapsis_m,periapsis_m,mass_kg,thrust_N,throttle_pct,maxQ_pa,damage_total,damage_tps,damage_struct,damage_prop,damage_life,survival_pct
2.00,LAUNCH,13.81,13.21,0.04,106.76,inf,-6371000.00,987689.21,16324007.30,100.00,106.76,0.00,0.00,0.00,0.00,0.00,100.00
4.00,LAUNCH,54.46,26.83,0.08,438.11,inf,-6371000.00,975885.42,16331737.24,100.00,438.11,0.00,0.00,0.00,0.00,0.00,100.00
6.10,LAUNCH,126.96,41.59,0.12,1043.54,inf,-6371000.00,963491.44,16345617.20,100.00,1043.54,0.00,0.00,0.00,0.00,0.00,100.00
8.20,LAUNCH,230.97,56.83,0.17,1925.26,inf,-6371000.00,951097.47,16365445.09,100.00,1925.26,0.00,0.00,0.00,0.00,0.00,100.00
10.30,LAUNCH,367.56,72.59,0.21,3091.12,inf,-6371000.00,938703.49,16391203.62,100.00,3091.12,0.00,0.00,0.00,0.00,0.00,100.00
12.40,LAUNCH,537.84,88.89,0.26,4543.34,inf,-6371000.00,926309.51,16422809.50,100.00,4543.34,0.00,0.00,0.00,0.00,0.00,100.00
14.50,LAUNCH,742.97,105.76,0.31,6277.75,inf,-6371000.00,913915.53,16460110.87,100.00,6277.75,0.00,0.00,0.00,0.00,0.00,100.00
16.50,LAUNCH,971.85,122.38,0.36,8181.82,inf,-6371000.00,902111.74,16500728.94,100.00,8181.82,0.00,0.00,0.00,0.00,0.00,100.00
18.50,MAX_Q,1234.54,139.55,0.41,10315.56,2226.61,-6370999.99,890307.95,16546061.40,100.00,10315.56,0.00,0.00,0.00,0.00,0.00,100.00
20.50,MAX_Q,1532.18,157.30,0.46,12655.88,2792.78,-6370999.90,878504.16,16595798.54,100.00,12655.88,0.00,0.00,0.00,0.00,0.00,100.00
22.50,MAX_Q,1865.92,175.66,0.52,15174.00,3437.77,-6370999.54,866700.37,16649573.61,100.00,15174.00,0.00,0.00,0.00,0.00,0.00,100.00
24.50,MAX_Q,2236.97,194.64,0.57,17835.33,4166.46,-6370998.62,854896.59,16706967.15,100.00,17835.33,0.00,0.00,0.00,0.00,0.00,100.00
26.50,MAX_Q,2646.55,214.28,0.63,20599.64,4983.98,-6370996.76,843092.80,16767512.11,100.00,20599.64,0.00,0.00,0.00,0.00,0.00,100.00
28.50,MAX_Q,3095.92,234.61,0.69,23421.65,5895.74,-6370993.40,831289.01,16830700.02,100.00,23421.65,0.00,0.00,0.00,0.00,0.00,100.00
30.50,MAX_Q,3586.38,255.65,0.75,26251.82,6907.39,-6370987.87,819485.22,16895988.51,100.00,26251.82,0.00,0.00,0.00,0.00,0.00,100.00
32.50,MAX_Q,4119.19,277.37,0.82,29024.42,8023.08,-6370979.29,807681.43,16962806.25,100.00,29024.42,0.00,0.00,0.00,0.00,0.00,100.00
34.50,MAX_Q,4695.40,299.65,0.88,31655.10,9243.85,-6370966.61,795877.64,17030537.24,100.00,31655.10,0.00,0.00,0.00,0.00,0.00,100.00
36.50,MAX_Q,5316.00,322.58,0.95,34101.28,10575.92,-6370948.53,784073.85,17098558.79,100.00,34101.28,0.00,0.00,0.00,0.00,0.00,100.00
38.50,MAX_Q,5982.19,346.33,1.02,36344.12,12029.89,-6370923.40,772270.06,17166285.12,100.00,36344.12,0.00,0.00,0.00,0.00,0.00,100.00
40.50,MAX_Q,6695.58,371.14,1.09,38377.49,13620.44,-6370889.16,760466.27,17233184.49,100.00,38377.49,0.00,0.00,0.00,0.00,0.00,100.00
42.50,MAX_Q,7457.67,396.60,1.17,40066.12,15338.84,-6370843.73,748662.48,17298741.32,100.00,40066.12,0.00,0.00,0.00,0.00,0.00,100.00
44.50,MAX_Q,8269.43,422.93,1.24,41411.72,17197.49,-6370784.29,736858.70,17362425.08,100.00,41411.72,0.00,0.00,0.00,0.00,0.00,100.00
46.50,MAX_Q,9132.33,450.23,1.32,42400.03,19206.93,-6370707.52,725054.91,17423797.16,100.00,42400.03,0.00,0.00,0.00,0.00,0.00,100.00
48.50,MAX_Q,10047.84,478.54,1.41,43008.58,21375.02,-6370609.58,713251.12,17482470.62,100.00,43008.58,0.00,0.00,0.00,0.00,0.00,100.00
